Unnamed: 0	eye_color	face_shape	file_name
1635	0	2	1635.png
9975	3	2	9975.png
6136	4	3	6136.png
5586	4	1	5586.png
3991	3	2	3991.png
8989	3	1	8989.png
2574	1	2	2574.png
9372	0	4	9372.png
9242	4	3	9242.png
6051	2	3	6051.png
29	4	0	29.png
9023	2	2	9023.png
9423	2	3	9423.png
9946	3	2	9946.png
5490	2	2	5490.png
8052	4	0	8052.png
7337	1	0	7337.png
3972	4	1	3972.png
7706	2	4	7706.png
5239	4	2	5239.png
2804	3	4	2804.png
2228	0	2	2228.png
9534	3	4	9534.png
9168	1	4	9168.png
2072	0	2	2072.png
7872	0	2	7872.png
9462	0	1	9462.png
1199	3	2	1199.png
8032	3	1	8032.png
8589	2	4	8589.png
40	4	2	40.png
3718	4	0	3718.png
2122	0	2	2122.png
4574	0	0	4574.png
5831	0	4	5831.png
314	1	4	314.png
4610	0	3	4610.png
2427	2	0	2427.png
6756	3	2	6756.png
4632	0	2	4632.png
2229	3	1	2229.png
5070	0	2	5070.png
6169	2	1	6169.png
1306	4	3	1306.png
5235	1	1	5235.png
2869	3	0	2869.png
3472	1	4	3472.png
6130	1	1	6130.png
841	3	3	841.png
6138	0	1	6138.png
8527	4	0	8527.png
8434	2	2	8434.png
8302	2	2	8302.png
8271	3	0	8271.png
4594	1	0	4594.png
7968	0	2	7968.png
9930	4	1	9930.png
6941	3	1	6941.png
3954	2	1	3954.png
8702	2	4	8702.png
9705	4	1	9705.png
9358	2	1	9358.png
3019	2	3	3019.png
8221	1	0	8221.png
8574	1	1	8574.png
4132	4	2	4132.png
3846	1	0	3846.png
9651	4	2	9651.png
1019	2	4	1019.png
7604	3	2	7604.png
8845	4	3	8845.png
6438	0	2	6438.png
6887	1	4	6887.png
9481	0	1	9481.png
8763	4	3	8763.png
2027	4	0	2027.png
1207	3	2	1207.png
2025	3	2	2025.png
7223	2	3	7223.png
7888	2	2	7888.png
5038	1	3	5038.png
9602	1	2	9602.png
6007	3	2	6007.png
1192	4	3	1192.png
6468	1	1	6468.png
2777	1	4	2777.png
1643	1	4	1643.png
6419	4	4	6419.png
9484	1	0	9484.png
7394	3	0	7394.png
2156	2	2	2156.png
6710	4	1	6710.png
9144	2	1	9144.png
7740	1	3	7740.png
5237	1	1	5237.png
1808	1	1	1808.png
5664	1	0	5664.png
7924	4	1	7924.png
7060	4	0	7060.png
9619	4	1	9619.png
6114	4	2	6114.png
3228	3	3	3228.png
7963	0	1	7963.png
1466	4	1	1466.png
8061	0	4	8061.png
2591	1	4	2591.png
4782	4	0	4782.png
9323	4	3	9323.png
8993	3	0	8993.png
7188	0	2	7188.png
3278	3	4	3278.png
1733	4	1	1733.png
1490	3	2	1490.png
2741	0	4	2741.png
6352	0	0	6352.png
57	2	2	57.png
9040	2	1	9040.png
2853	0	4	2853.png
8611	0	4	8611.png
161	3	3	161.png
5365	0	4	5365.png
9915	2	1	9915.png
1888	4	0	1888.png
909	3	3	909.png
7932	4	1	7932.png
7765	0	0	7765.png
2830	0	4	2830.png
5156	3	0	5156.png
1318	0	4	1318.png
2576	1	0	2576.png
5683	0	2	5683.png
9691	1	1	9691.png
8314	1	1	8314.png
8747	1	4	8747.png
5209	3	4	5209.png
8966	1	0	8966.png
7754	4	4	7754.png
9472	1	4	9472.png
7920	1	4	7920.png
1729	3	3	1729.png
2189	4	1	2189.png
9969	2	3	9969.png
7868	3	0	7868.png
1250	1	2	1250.png
5275	4	1	5275.png
7476	4	0	7476.png
82	2	0	82.png
8265	1	2	8265.png
3063	2	2	3063.png
4423	0	2	4423.png
1806	1	1	1806.png
1069	1	4	1069.png
7206	1	0	7206.png
8621	3	4	8621.png
7769	2	4	7769.png
273	1	3	273.png
171	1	4	171.png
4513	3	2	4513.png
5967	2	0	5967.png
5323	4	1	5323.png
6066	1	0	6066.png
4312	2	0	4312.png
4162	0	3	4162.png
3388	4	2	3388.png
4843	2	1	4843.png
6354	1	2	6354.png
7635	1	1	7635.png
5703	4	4	5703.png
9398	4	3	9398.png
3646	0	3	3646.png
3670	2	2	3670.png
